Title,Character,Killer,Female,Employed,Related,Financial,AIch1web,AIch1passage,AIch20p
The_Murder_at_the_Vicarage,Reverend Leonard Clement,0,0,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Griselda Clement (vicar's wife),0,1,0,0,0,0,0,0
The_Murder_at_the_Vicarage,Dennis Clement,0,0,0,0,0,0,0,0
The_Murder_at_the_Vicarage,Mary (the maid),0,1,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Anne Protheroe,1,1,0,1,1,1,1,1
The_Murder_at_the_Vicarage,Lettice Protheroe,0,1,0,1,1,0,0,0
The_Murder_at_the_Vicarage,Lawrence Redding,1,0,1,0,1,1,1,1
The_Murder_at_the_Vicarage,Mrs Lestrange,0,1,0,1,0,0,0,0
The_Murder_at_the_Vicarage,Mr Hawes,0,0,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Dr Stone,0,0,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Miss Cram,0,1,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Mrs Price Ridley,0,1,0,0,0,0,0,0
The_Murder_at_the_Vicarage,Miss Wetherby,0,1,0,0,0,0,0,0
The_Murder_at_the_Vicarage,Miss Hartnell,0,1,0,0,0,0,0,0
The_Murder_at_the_Vicarage,Bill Archer,0,0,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Dr Haydock,0,0,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Raymond West,0,0,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Inspector Slack,0,0,1,0,0,0,0,0
The_Murder_at_the_Vicarage,Colonel Melchett,0,0,1,0,0,0,0,0
The_Body_in_the_Library,Dolly Bantry,0,1,0,0,0,0,0,0
The_Body_in_the_Library,Colonel Arthur Bantry,0,0,1,0,0,1,0,0
The_Body_in_the_Library,Conway Jefferson,0,0,0,0,0,0,0,0
The_Body_in_the_Library,Mark Gaskell,1,0,1,1,1,0,0,0
The_Body_in_the_Library,Adelaide Jefferson,0,1,0,0,1,0,0,0
The_Body_in_the_Library,Edwards (valet),0,0,1,0,0,0,0,0
The_Body_in_the_Library,Josie Turner,1,1,1,1,1,0,0,0
The_Body_in_the_Library,Raymond Starr,0,0,1,0,0,0,0,0
The_Body_in_the_Library,Superintendent Harper,0,0,1,0,0,0,0,0
The_Body_in_the_Library,Basil Blake,0,0,1,0,0,0,1,1
The_Body_in_the_Library,Dinah Lee,0,1,0,0,0,0,0,0
The_Body_in_the_Library,George Bartlett,0,0,0,0,0,0,0,0
The_Body_in_the_Library,Hugo McLean,0,0,1,0,0,0,0,0
The_Moving_Finger,Jerry Burton,0,0,0,0,0,0,0,0
The_Moving_Finger,Joanna Burton,0,1,0,0,0,0,0,0
The_Moving_Finger,Miss Emily Barton,0,1,0,0,0,0,0,0
The_Moving_Finger,Mr Symmington,1,0,1,1,1,1,1,1
The_Moving_Finger,Megan Hunter,0,1,0,1,0,0,0,0
The_Moving_Finger,Elsie Holland (nanny),0,1,1,0,0,0,0,0
The_Moving_Finger,Dr Owen Griffith,0,0,1,0,0,0,0,0
The_Moving_Finger,Aimée Griffith,0,1,0,0,0,0,0,0
The_Moving_Finger,Mr Pye,0,0,0,0,0,0,0,0
The_Moving_Finger,Superintendent Nash,0,0,1,0,0,0,0,0
The_Moving_Finger,Inspector Graves,0,0,1,0,0,0,0,0
The_Moving_Finger,Colonel Appleton,0,0,1,0,0,0,0,0
The_Moving_Finger,Partridge (maid),0,1,1,0,0,0,0,0
The_Moving_Finger,Reverend Caleb Dane Calthrop,0,0,1,0,0,0,0,0
